Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Boiadeiro,Caboclo da Estrela Guia - Estrela D'alva,"Estrela D'alva é minha guia
Que alumeia meu passar (2x)

Alumeia a mata virgem
Cidade do Aiucá
Alumeia a mata virgem
Cidade do Juremá",Lu,Caboclo da Estrela Guia,Samba Cabula
Boiadeiro,Boa noite - Caboclo da Estrela Guia,"Boa noite
Meus senhores (2x)
Dai-me licença
Para um cavaleiro (2x)

Eu moro em
Mata cerrada (2x)
O meu nome
É caboclo vaqueiro (2x)",Lu,Caboclo da Estrela Guia,Samba Cabula
Boiadeiro,Zé das Matas - Cadê seu boiadeiro,"Cadê seu boiadeiro
Aonde ele está
Ele está fechando o corpo
Para trabalhar (2x)

Tange muito gado
Cura muita gente
Ele é seu Zé das Matas
Que cabra valente! (2x)","Claudia, Millie, Diego",Zé das Matas,Samba Cabula
Boiadeiro,Quem vem lá - Zé das Matas,"O quem vem lá, sou eu (3x)
Boiadeiro eu sou

Seu boiadeiro, seu boiadeiro
Sua boiada é respeitada (2x)","Claudia, Millie, Diego",Zé das Matas,Samba Cabula
Boiadeiro,Eu atirei,"Eu atirei
Eu atirei ninguém viu
Só boiadeiro é quem sabe
Aonde a flecha caiu
Eu atirei",,,Samba Cabula
Boiadeiro,O meu boi tava dormindo,"O meu boi tava dormindo
O meu boi tava dormindo
Santo Antonio mandou chamar (2x)

Levanta esse boi
Bota ele pra trabalhar (2x)

O meu boi ae
Deixa ele passar (2x)",,,Samba Cabula
Boiadeiro,Saiu da sua aldeia,"Foi nesse passo
Que ele saiu da sua aldeia. (2x)

Montado em seu cavalo
Com o seu chapéu de lado (2x)

Quando saiu
A sua mãe abençoou (2x)

Não chore meu filho amado
Que eu vou levar seu gado (x2)",,,Samba Cabula
Boiadeiro,Tava na mata,"Tava na mata
Tava trabalhando (2x)

Seu boiadeiro
Passou me chamando (2x)

Eu vou, eu vou
Aonde ele mora
Mora na mata
De Nossa Senhora (2x)",,,Samba Cabula
Boiadeiro,Por aqui choveu,"Por aqui choveu
Seu Boiadeiro
Por aqui choveu (2x)

Choveu e a água rolou
Foi tanta água
Que seu boi nadou (2x)

Na minha boiada me falta boi
Oi me falta 1
Oi me falta 2
Na minha boiada me falta boi
Oi me falta 2
Oi me falta 3",,,Samba Cabula
Boiadeiro,Cheguei Morena,"Cheguei morena cheguei
Cheguei vou firmar agora

Foi no roncar do tambor que eu vim
Sou boiadeiro
Caboclo de samba angola (2x)

Não tenho nem pai nem mãe
Ninguém para rezar por mim
A minha mãe é Nossa Senhora
E o meu pai é Senhor do Bonfim (2x)",,,Samba Cabula
Boiadeiro,Pedrinha miudinha,"Pedrinha miudinha
Pedrinha miudinha
Pedrinha de Aruanda, aê
Lajedo, tão grande
Tão grande na Aruanda, aê (2x)

Esse lajedo
É muito grande de pedrinha miúda
É de pedrinha miúda
É de pedrinha graúda (2x)",,,Samba Cabula
Boiadeiro,Cadê minha corda,"Cadê minha corda
De laçar meu boi
O meu boi fugiu
Eu não sei pra onde foi (2x)

Xetruá, xetruá
Minha corda é de laçar
Xetruá, xetruá
Meu boi fugiu mandei buscar (2x)",,,Samba Cabula
Boiadeiro,Acendiu uma vela,"Ehhh Acendi uma vela
Por detrás da bananeira
De repente pegou fogo
E depois virou fogueira

Tá tá tá faltando boi (2x)",,,Samba Cabula
Boiadeiro,Eu também sei carrear,"Ai, patrão
Mas eu também sei carrear (2x)

Com a ajuda de boi preto
Outra ajuda de boi tatá
Boto canga no boi preto
E vai puxar canavial (2x)",,,Samba Cabula
Boiadeiro,Boia boiadeiro,"Boia boiadeiro
Boiadeiro boia (2x)
Se eu contar a minha vida
Boiadeiro chora (2x)",,,Samba Cabula
Boiadeiro,É uma lei severa,"É uma lei severa
E lá na mata
Lá da Jurema (2x)

É uma lei severa
É uma lei sem pena (2x)",,,Samba Cabula
Boiadeiro,Firmei meu ponto,"Firmei meu ponto
Firmei meu ponto
Na porteira do curral.
Joguei o laço
E peguei meu alazão

Jibão de couro
E perfume da Jurema
Nunca enganei ninguém
É na Jurema que eu busco
A proteção (2x)

É o Boiadeiro, oi
É o Boiadeiro
É Massapé
É da Jurema
É da Jurema (2x)

Boi, Ê boi, Ê boi (2x)
Le le le le le le le le le á (2x)",,,Samba Cabula
Boiadeiro,Chapéu de couro,"Eu tenho meu chapéu de couro
Eu tenho a minha guiada
Eu tenho meu lenço vermelho
Para tocar a minha vaquejada (2x)",,,Samba Cabula
Boiadeiro,Massapé,"Nunca enganei ninguem
Pra hoje ser enganado
A vaca dormiu no seco
E acordou foi no molhado (2x)

É barro molhado (3x)",,,Samba Cabula
Boiadeiro,Fazenda do patrão,"Já fui vaquiero
Na fazenda do patrão
Já vesti couro
Peneral chapéu gibão
Eu vim montado
Já corri, dei queda em gado
Hoje vivo apaixonado
Por mulher do cabelão",,,Samba Cabula
Boiadeiro,Ehh boiada,Ehh boi (2x),,,Samba Cabula
Boiadeiro,Mata Serrada,"Eu tava na mata serrada
Com meu gado esparramado (2x)

Olha meu boi
Minha boiada
Seu boiadeiro
Venha vaquejar meu gado (2x)",,,Samba Cabula
Boiadeiro,Tá me chamando,"Tá me chamando
Tá me chamando
Tá me chamando
Me chamando eu áhh

Eu andei pela mata virgem
Á procura de quem me chamou
O boa noite meus senhores
Boiadeiro aqui chegou",,,Samba Cabula
Boiadeiro,Água no pé,"Água no pé da gruta
Na gruta da Santa Cruz
Seu Boiadeiro é hora é hora
Seu boiadeiro me disse
Sua guiada é de Jesus (2x)",,,Samba Cabula
Boiadeiro,Bom vaqueiro,"Bom vaqueiro, bom vaqueiro
Dái-me licensa pra eu passar
Com meus filhos
Para casa me guiar
Bom vaqueiro

(Quem vem lá) Sou eu sou eu
(Quem vem lá) No romper de uma cancela
(Quem vem lá) Boiadeiro sou eu
(Quem vem lá)",,,Samba Cabula
Boiadeiro,Toca o berrante,"Eu cheguei na minha campina
Para tocar a minha boiada
Boiadeiro me disse assim
E me deixou uma única palavra

Ele disse bem assim filho
Firma o seu pensamento.
É só tocar o berrante
Que você vê
O que tá acontecendo (2x)

Toca o berrante seu moço
Que a boiada vem

Oh não vai ter pra ninguem (2x)",,,Samba Cabula
