Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Esquerda,Exu Tata Caveira - Ele vem vindo,"Ele vem vindo
Por detrás da bananeira (2x)

Corre gira, corre gira
Exu Tata Caveira (2x)",Claudia,Tata Caveira,Samba Cabula
Esquerda,Exu Tata Caveira - Mandaram bala,"Mandaram bala para me matar
A maldita dessa bala
Foi parar em outro lugar (2x)

Ela resvalou
E mudou a direção
Foi pró peito do inimigo
Que lavrou o seu caixão (2x)

Eu tenho Exu
Que não é de brincadeira
Me protégé noite e dia
Me protege a vida inteira

Eu tenho Exu
Que não é de brincadeira
Morador lá da Calunga
Ele é Tatá Caveira

Tatá, Tatá Caveira
Morador lá da calunga
Me protégé a vida inteira (2x)",Claudia,Tata Caveira,Samba Cabula
Esquerda,Exu Rei das 7 Encruzilhadas - Era meia noite,"Era meia noite
Era meia noite
Quando o malvado chegou (2x)

Saravá Rei Omolu
Vai chegar a madrugada

Salve Exu, salve Exu
Das 7 Encruzilhadas (2x)",Juan,Exu Rei das 7 Encruzilhadas,Samba Cabula
Esquerda,Exu Rei das 7 Encruzilhadas - Odara,"Odara
Morador de encruzilhada
Firma seu ponto
Com sete facas cruzadas (2x)

Filho de umbanda
Pede com fé
Pra seu sete encruzilhadas
Que ele dá o que você quer (2x)",Juan,Exu Rei das 7 Encruzilhadas,Samba Cabula
Esquerda,Exu Tiriri - Um pesadelo,"Quem nunca teve um pesadelo
Essa noite vai sonhar com Tiriri (2x)

Seu Tiriri
Seu Tiriri
Toma conta da porteira
Não deixa casa cair (2x)",Luiz,Exu Tiriri,Samba Cabula
Esquerda,Exu Tranca Rua - O Sino da igrejinha,"O Sino da igrejinha faz blém blém blom (2x)

Deu meia-noite
O galo já cantou
Seu Tranca Ruas é que está na gira
Oh corre gira que Ogum mandou",Thiago,Exu Tranca Rua,Samba Cabula
Esquerda,Exu Tranca Rua - Eu amei alguém,"Eu amei alguém
E esse alguém não amava ninguém (2x)

Eu amei o sol
Eu amei a lua
Na encruzilhada
Eu amei seu Tranca Rua (2x)",Thiago,Exu Tranca Rua,Samba Cabula
Esquerda,Exu Tranca Rua - Lá na encruza,"Lá na encruza, na encruza
Existe um homem valente (2x)

Com sua capa e cartola
Com seu punhal e tridente (2x)

É madrugada, é madrugada
E ele está ao meu lado (2x)

Por isso eu te digo, Tranca-Rua
Você é meu advogado! (2x)",Thiago,Exu Tranca Rua,Samba Cabula
Esquerda,Exu Tranca Rua - Dono do meu caminho,"Quando o sol aqui não mais brilhar
Quando da lua seu clarão refletir
É sinal que está na hora
Já deu meia noite
Tranca Ruas é quem chegou aqui (2x)

Jurou para alguém na encruzilhada
Jurou fazer o bem de madrugada

Hoje com fé
Companheiro e amigo leal
Quem quebra feitiço
E também desfaz o mal

E toda vez que na rua eu caminhar
E ouvir de longe
Sua voz a ecoar
Tenho certeza
Que agora não ando sozinho
Seu tranca rua é dono
Do meu caminho",Thiago,Exu Tranca Rua,Samba Cabula
Esquerda,Exu Tranca Rua - O luar,"Se tem problema a resolver
Ô Luar
E encontrar dificuldades
Ô Luar
Depois das leis do universo
Ô Luar
Exu também faz caridade

Ô luar, ô luar
Ô luar
Mas ele é o dono da Rua (2x)

Quem cometeu as suas faltas
Peça perdão a Tranca Rua (2x)",Thiago,Exu Tranca Rua,Samba Cabula
