Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toques
Marinheiros,José Pilintra das Almas - Estava Sentado,"Estava sentado
Numa mesa da Jurema
Afirmei meu ponto
E balancei o maracá (2x)

E eu saldei foi a Jurema Preta
Seu José Pilintra
Dê um tombo e venha cá (2x)",Diego,José Pilintra das Almas,Samba Cabula
Marinheiros,Zé do Mar - Seu Capitão,"Seu Capitão
Oh seu Capitão (2x)

Esse mar não tem segredo
Pra quem tem bom coração (2x)

Passei minha vida
Toda vivendo no mar
Eu nem andava
Mas já sabia nadar

No Balanço da Maré
Aprendi a trabalhar
Me chamavam marinheiro
Me chamavam Zé do mar

Foi as ondas quem me trouxe
As ondas vão me levar.",Juan,Zé do Mar,Samba Cabula
Marinheiros,7 Âncoras - A tempestade se formou,"A tempestade se formou
Tamo no meio do mar (2x)

Segura capitão, segura
O navio vai balançar (2x)

Lança Sete Âncoras
Lá no fundo do mar (2x)

E assim filho de fé
Não vai balançar (2x)

Só Sete Âncoras
Pra segurar esse navio (2x)

A tempestade já passou
E filho de fé nem sentiu (2x)",Marcelo,7 Âncoras,Samba Cabula
Marinheiros,7 Mares - Comecei marujo,"Sete Mares enfrentei
Comecei marujo e morri capitão (2x)

Mas de demanda
Que a vida me mandou
Sete mares tentaram
Mas nenhum me derrubou (2x)

Eu sou capitão Sete mares
Conhecido nos lugares
Como bom navegador
Vivi pela calunga grande
Mae Iemanjá me consagrou (2x)",Eric Oliveira,7 Mares,Samba Cabula
Marinheiros,Almirante da Beirada - Navio Negreiro,"Navio Negreiro
No fundo do mar (2x)

Correntes pesadas
Na areia a arrastar (2x)

A negra escrava se pôs a cantar (2x)

Saravá minha Mãe Iemanjá (2x)

Virou a caçamba de fundo
Profundo do mar (2x)

E quem me salvou
Foi Mãe Iemanjá (2x)

Saravá minha Mãe Iemanjá
Saravá Almirante da Beirada",Lu,Almirante da Beirada,Samba Cabula
Marinheiros,Janaína - Janaína Vem Ver,"Eu fui... na beirada praia
Pra ver... o balanço do mar (2x)

Eu vi... um retrato na areia
Me lembrei da sereia
Comecei a chamar (2x)

Ôh Janaína vem ver
Ôh Janaína vem cá
Receber suas flores
Que venho lhe ofertar (2x)",Lu,Janaína,Samba Cabula
Marinheiros,Marinheiro quer,"Marinheiro quer, quer, quer
Marinheiro quer beber vinho
Marinheiro quer farda branca
Enfeitada com azul marinho (4x)",,,Samba Cabula
Marinheiros,Não sou eu,"Não sou eu quem me navega
Não sou eu que me navega
Quem me navega é o mar (2x)

É ele quem me carrega
Para os braços de Iemanjá (2x)

Vou seguir nessa viagem
De encontro a esse Congá
O leme da minha vida
Deus é quem faz governar

E quando alguém me pergunta
Como se faz pra nadar
Explico que eu não nado
Quem me leva é o mar",,,Samba Cabula
Marinheiros,Marinheiro só,"Eu não sou daqui (Marinheiro só)
Eu não tenho amor (Marinheiro só)
Eu sou da Bahia (Marinheiro só)
De São Salvador (Marinheiro só) (2x)

Ô, marinheiro, marinheiro
(Marinheiro só)
Ô, quem te ensinou a nadar
(Marinheiro só)
Ou foi o tombo do navio
(Marinheiro só)
Ou foi o balanço do mar
(Marinheiro só) (2x)",,,Samba Cabula
Marinheiros,Lá vem lá vem,"Lá vem, lá vem (Marinheiro só)
Ele vem faceiro (Marinheiro só)
Todinho de branco (Marinheiro só)
Com seu bonezinho (Marinheiro só)",,,Samba Cabula
